anime_id,Name,Score,Genres,English name,Japanese name,sypnopsis,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
40530,Jaku-Chara Tomozaki-kun,7.01,"Drama, Romance, School",Bottom-Tier Character Tomozaki,弱キャラ友崎くん,"Fumiya Tomozaki is Japan's best player in the online game Attack Families, commonly known as ""Tackfam."" Despite holding such a revered title, a lack of social skills and amiability causes him to fall short in his everyday high school life. Failing to have any friends, he blames the convoluted mechanics and unfair rules of life, forcing him to give up and proclaim himself a bottom-tier character in this ""game."" After a fateful meeting with another top-tier Tackfam player, Fumiya is shocked to discover the player's true identity—Aoi Hinami, a popular, smart, and sociable classmate who is the complete opposite of himself. Aoi, surprised at how inept Fumiya is at everything besides Tackfam, decides to assist him in succeeding in what she calls the greatest game of them all. Through the gruesome ordeals of social interactions and relationships, Fumiya begins to advance tiers in the glorious game of life.",TV,12,"Jan 8, 2021 to ?",Winter 2021,"Pony Canyon, APDREAM, Bit grooove promotion, Dream Shift",Funimation,Project No.9,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,3614,1227,120047,932,70206,21,1733,3955
40594,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,6.75,"Adventure, Fantasy",Suppose a Kid from the Last Dungeon Boonies moved to a starter town?,たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語,"long time ago, the ancient saviors of humanity founded a village as their haven, with their descendants said to assist humanity in times of extreme chaos. This village, Kunlun, is located just beside the infamous ""Last Dungeon""—a place where monsters of unimaginable strength reside and which serves as the hunting grounds for Kunlun residents. Despite being accustomed to defeating powerful enemies since childhood, Lloyd Belladonna regards himself as the weakest in his village in terms of magic, strength, and intelligence. Even so, to fulfill his desire of becoming a soldier, he goes to the Kingdom of Azami to enroll in its military academy. However, as someone whose upbringing defies common sense, Lloyd's innate power might just prove to be the key to end the crises enveloping the kingdom!",TV,12,"Jan 4, 2021 to ?",Winter 2021,"AT-X, NBCUniversal Entertainment Japan, Sammy, BS11, JR East Marketing & Communications, GREE, SB Creative, Tapioca",Funimation,LIDENFILMS,Light novel,24 min. per ep.,Unknown,4663,1291,111812,622,75168,11,1408,4907
40610,Healin' Good♡Precure,6.88,"Action, Magic, Fantasy, Shoujo",Healin' Good Pretty Cure,ヒーリングっど♥プリキュア,"Sickly but optimistic middle school student Nodoka Hanadera has just moved to Sukoyaka City, a place famous for its healthy atmosphere. She immediately befriends two of her classmates: the gentle but athletic Chiyu Sawaizumi, whose family runs a hot spring inn, and the bubbly and fashionable daughter of a vet, Hinata Hiramitsu. Soon after arriving, Nodoka finds an ill puppy in a forest, surrounded by three magical talking animals: Rabbirin, Penguitan, and Nyatoran. They tell her that the puppy, Princess Latte, can only be cured by defeating a nearby monster known as a ""Mega Byogen"" and purifying the land it has corrupted. Despite being powerless, Nodoka refuses to give up and let Latte suffer. Moved by her determination, Rabbirin forms a pact with Nodoka, allowing her to transform into a hero known as a Precure. Assuming the persona of ""Cure Grace,"" the energized Nodoka fights off the Byogen and heals the earth, curing Latte. As the Byogen and their leaders continue their attacks, Penguitan and Nyatoran also find their partners in Chiyu and Hinata, giving them the powers of ""Cure Fontaine"" and ""Cure Sparkle"" respectively. Now, it's up to the three Precure and their animal friends to stop the Byogen and protect the earth from their infections!",TV,45,"Feb 2, 2020 to Feb 21, 2021",Winter 2020,"Asatsu DK, Asahi Broadcasting, ABC Animation",Unknown,Toei Animation,Original,24 min. per ep.,G - All Ages,4091,5931,6240,49,2412,433,436,478
40679,2.43: Seiin Koukou Danshi Volley-bu,6.41,"Slice of Life, Sports, Drama, School",2.43:Seiin High School Boys Volleyball Team,2.43 清陰高校男子バレー部,"Junior high school student Kimichika Haijima moves back to his hometown, Fukui, after causing trouble in the Tokyo Junior High School volleyball club. There, he is reunited with his childhood friend, Yuni Kuroba, who possesses outstanding physical abilities, but is vulnerable under pressure. Haijima, with his overwhelming passion and talent for volleyball, forms an ace combination with Kuroba. The two enroll at Seiin High School, where they join the volleyball club. Awaiting them are the 163 cm hot-blooded captain Shinichirou Oda, the talented and sharp-tongued vice-captain Misao Aoki and his third-year pair, and second-year students, including Akito Kanno, who is always wearing long sleeves due to his allergy to sunlight. The newborn team breaks its former shell of weakness and becomes Fukui's rising star. This is a certain team's journey to victory, with a series of fascinating rivals standing in their way. (Source: MAL News)",TV,12,"Jan 8, 2021 to ?",Winter 2021,"Aniplex, Dentsu, Animax, Movic, Fuji TV, Fujipacific Music, Shueisha, Fuji Creative, Tohan Corporation, Japan Volleyball Association",Funimation,David Production,Novel,23 min. per ep.,PG-13 - Teens 13 or older,6365,1951,63008,267,35186,14,1678,4322
40714,Youkai Watch Jam: Youkai Gakuen Y - N to no Souguu,6.28,"Comedy, Demons, Kids, Supernatural, School",Unknown,妖怪ウォッチJam 妖怪学園Y Nとの遭遇,,TV,Unknown,"Dec 27, 2019 to ?",Winter 2020,Unknown,Unknown,OLM,Game,24 min.,Unknown,7006,10776,875,3,211,1,56,96
40738,Natsunagu!,5.84,"Drama, Slice of Life",Unknown,なつなぐ!,"fter earthquakes suddenly took place in the Kumamoto Prefecture, Natsuna Keyaki lost contact with her dearest online friend, Itsuki. With nothing but a drawn picture of the landscape, Natsuna embarks on a journey from Tokyo to Kumamoto to find her. When Natsuna gets lost in a rural area of the disaster-stricken prefecture, she encounters a policeman and an energetic middle school girl named Izumi Chiba. Izumi, along with her hospitable family members, offers Natsuna shelter and information to assist her in her quest. With these kind locals helping her on every step of the way, Natsuna moves closer to discover what happened to Itsuki.",TV,12,"Jan 7, 2020 to Mar 24, 2020",Winter 2020,Unknown,Unknown,IMAGICA Lab.,Original,4 min. per ep.,PG-13 - Teens 13 or older,8713,3684,19716,17,1582,6561,525,1905
40746,Overflow,6.76,"Ecchi, Romance",Unknown,おーばーふろぉ,"Kazushi Sudou is a university student who is visited by his two childhood friends, the sisters Ayane and Kotone Shirakawa. When Ayane discovers that Kazushi not only forgot to buy her pudding but is also using her special lotion in the bath, she decides to take revenge and join Kazushi in his bath along with Kotone. Will the perverted Kazushi be able to remain indifferent to them both?",TV,8,"Jan 6, 2020 to Feb 24, 2020",Winter 2020,"Studio Mausu, Suiseisha",Unknown,Studio Hokiboshi,Manga,7 min. per ep.,R+ - Mild Nudity,4640,2034,59322,481,5093,32931,1039,2466
40750,Kaifuku Jutsushi no Yarinaoshi,6.22,"Ecchi, Fantasy",Redo of Healer,回復術士のやり直し,"hen Keyaru acquired his powers as a Hero who specialized in healing all injuries regardless of severity, it seemed that he would walk the path to a great future. But what awaited him instead was great agony; he was subjected to years of seemingly endless hellish torture and abuse. Keyaru's healing skills allowed him to secretly collect the memories and abilities of those he treated, gradually making him stronger than anyone else. But by the time he reached his full potential, it was far too late—he had already lost everything. Determined to put his life back on track, Keyaru decided to unleash a powerful healing spell that rewound the entire world back to the time before he began to suffer his horrible fate. Equipped with the anguish of his past, he vows to redo everything in order to fulfill a new purpose—to exact revenge upon those who have wronged him.",TV,12,"Jan 13, 2021 to Apr 1, 2021",Winter 2021,"Lantis, AT-X, Glovision, Docomo Anime Store, Kadokawa Media House, Kadokawa, Bandai Namco Arts",Sentai Filmworks,TNK,Light novel,24 min. per ep.,R+ - Mild Nudity,7256,665,222096,2815,145187,77,2838,11839
40758,Hulaing Babies Petit,6.51,"Slice of Life, Comedy",Unknown,フライングベイビーズ☆プチ,No synopsis information has been added to this title. Help improve our database by adding a synopsis here .,TV,12,"Jan 8, 2020 to Mar 25, 2020",Winter 2020,Unknown,Unknown,Gaina,Original,1 min. per ep.,PG-13 - Teens 13 or older,14515,11285,702,0,50,96,19,85
40763,Show By Rock!! Mashumairesh!!,6.91,"Music, Comedy",SHOW BY ROCK!! Mashumairesh!!,SHOW BY ROCK!!ましゅまいれっしゅ!!,New Show by Rock!! TV Series featuring the new band Mashumairesh!!.,TV,12,"Jan 9, 2020 to Mar 26, 2020",Winter 2020,"Dentsu, Sotsu, Pony Canyon, Sanrio, KlockWorx, Polygon Pictures, 81 Produce, Tokyo MX, Hokkaido Cultural Broadcasting, Sammy, FuRyu, Sony Music Solutions",Funimation,Kinema Citrus,Game,23 min. per ep.,PG-13 - Teens 13 or older,3973,4971,9700,38,872,3235,297,705
